allcode,0to12,13to18,19to25,26to40,41to60,61to90,,code,0to12,13to18,19to25,26to40,41to60,61to90,,age0to12,age13to18,age19to25,age26to40,age41to60,age61to90
E02004343,810,391,427,901,1505,1461,,E02000376,827,292,703,2627,1613,680,,0.110043397,0.14638027,0.110445616,0.281965212,0.198675497,0.124586913
E02004344,905,447,572,1047,2026,2109,,E02000377,1190,386,891,2590,1966,1000,,0.222566646,0.221161496,0.155486344,0.276319805,0.309996846,0.230337079
E02004345,1613,897,798,1731,4038,3935,,E02000378,811,240,522,2450,1558,755,,0.105083695,0.105011933,0.067081936,0.254958804,0.18133081,0.149372108
E02004346,593,330,284,584,1723,1614,,E02000379,1241,417,541,2364,1900,1091,,0.238375697,0.245823389,0.071633924,0.241837046,0.289183223,0.260409782
E02004347,655,590,940,784,1859,2210,,E02000380,947,253,579,1659,1466,787,,0.147241166,0.115354018,0.080737901,0.134269149,0.152317881,0.159947125
E06000005,16484,7472,8013,19145,29211,25042,,E02000381,1234,411,633,2449,1970,962,,0.236205828,0.241050119,0.093675132,0.254806225,0.311258278,0.217779247
E02002559,1494,618,495,1595,2682,1989,,E02000382,923,315,449,1796,1536,828,,0.139801612,0.164677804,0.049592717,0.155172414,0.174392936,0.173496365
E02002560,1038,471,448,1099,1814,1343,,E02000383,824,373,1227,3299,1991,1331,,0.109113453,0.210819411,0.235984667,0.384498016,0.317880795,0.339722406
E02002561,720,345,407,867,1731,1563,,E02000384,909,385,800,2285,1708,1062,,0.135461872,0.220365951,0.133684715,0.229783338,0.2286345,0.250826173
E02002562,919,385,592,1171,1683,1265,,E02000385,497,157,816,2696,1228,568,,0.007749535,0.038981702,0.137517968,0.292493134,0.077262693,0.087574356
E02002563,726,409,389,867,1506,1626,,E02000386,1119,519,986,2542,1901,966,,0.200557967,0.326968974,0.178246287,0.268996033,0.289498581,0.219101124
E02002564,1551,790,649,1660,2674,2089,,E02000387,750,286,864,2102,1360,699,,0.08617483,0.141607001,0.149017729,0.201861459,0.11888994,0.130865829
E02002565,780,294,536,1211,1442,997,,E02000388,982,285,919,3037,1625,1076,,0.158090515,0.140811456,0.162194538,0.344522429,0.202459792,0.255452743
E02002566,1101,411,790,1749,1730,1050,,E02000389,1130,385,949,2413,1873,1245,,0.203967762,0.220365951,0.169381888,0.249313396,0.280668559,0.311302049
E02002567,1252,547,615,1285,1791,1718,,E02000390,844,268,799,2109,1394,746,,0.115313081,0.127287192,0.133445137,0.202929509,0.12961211,0.146397885
E02002568,830,472,318,855,1886,1665,,E02000391,1243,335,703,2399,1921,1095,,0.23899566,0.180588703,0.110445616,0.247177296,0.29580574,0.261731659
E02002569,1059,612,417,951,2577,3350,,E02000392,1503,474,850,3255,2079,970,,0.319590825,0.291169451,0.145663632,0.377784559,0.345632293,0.220423001
E02002570,1278,575,761,1631,2045,1773,,E02000393,878,168,531,2239,1214,690,,0.125852449,0.047732697,0.069238141,0.222764724,0.072847682,0.127891606
E02002571,1342,435,508,1429,1593,1239,,E02000394,1269,405,831,2745,1860,962,,0.247055177,0.23627685,0.141111644,0.299969484,0.276568906,0.217779247
